substrate ,microorganism,reactoe / mode,pH,temperature °C,hydrogen-yield,refrence
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,5.47 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,15.5 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,32.08 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,39.1 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,29.55 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,batch,6.5,37,31.27 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste and sewage sludge ,anaerobic digester sludge,batch ,6,35,122.9 mL H2 /g VS,"(Akhbari & Ibrahim, 2022)"
kitchen waste ,mixed culture from kitchen waste compost,cstr / intermittent,6,55,1.7 mmol H2 /g COD ,"(Akhbari & Ibrahim, 2022)"
food waste,thermophilic acidogenic culture ,batch,4.5,55,46.3 mL H2 /g VS,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,5.5,55,7.39 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,5.5,55,12.83 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,5.5,55,31.81 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,clostridium sensu stricto 1,na,5.5,55,129.2 mL H2  / g VS,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,5.5,55,29.73 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,5.5,55,14.93 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste, clostridium sensu stricto 1,na,5.5,55,87.2  mL / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,9.71 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,28.69 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,44.95 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,80.41 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,71.35 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6,55,38.46 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste, clostridium sensu stricto 1,na,4.5,55,61.2 mL H2 /g VS,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,9.45 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,23.97 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,36.83 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,58.32 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,44.6 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,44.28 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
food waste,lactobacillus and clostridium sensu stricto 1,na,6.5,55,40.78 mL H2  / g VS·L,"(Akhbari & Ibrahim, 2022)"
glucose,enterobacter aerogenes,batch,6.5,38,1 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose,enterobacter cloacae,batch,6,36,2.2 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose,clostridium beijerinckii ,batch,7.2,35,2.8 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose ,clostridium butyricum,batch,7.2,36,2.3 mol H2 /mol glucose,"(Okonkwo, 2019)"
palm oil mill effluent,clostridium butyricum ,batch,5.5,37,0.22 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose,caldicellulosiruptor saccharolyticus ,batch,7,70,3.4 mol H2 /mol glucose,"(Okonkwo, 2019)"
miscanthus hydrolysate,clostridium thermocellum ,batch,7,72,2.4 mol H2 /mol glucose,"(Okonkwo, 2019)"
cellulose,thermoanaerobacterium thermosaccharolyticum ,batch,6.8,60,1.9 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose,thermoanaerobacterium thermosaccharolyticum ,batch,6.5,60,2.4 mol H2 /mol glucose,"(Okonkwo, 2019)"
xylose ,thermotoga neapolitana,batch,6.5,60,2.6 mol H2 /mol glucose,"(Okonkwo, 2019)"
xylose ,thermotoga neapolitana,batch,7,75,3.4 mol H2 /mol glucose,"(Okonkwo, 2019)"
glucose,thermotoga neapolitana,batch,7,75,3.5 mol H2 /mol glucose,"(Okonkwo, 2019)"
carrot pulp hydrolysate ,thermotoga neapolitana,batch,7,75,2.7 mol H2 /mol glucose,"(Okonkwo, 2019)"
cellulose,clostridium thermocellum + clostridium thermopalmarium,batch,7,55,1.36 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
glucose,caldicellulosiruptor saccharolyticus + caldicellulosiruptor kristjanssonii,continuous,6.7,70,3.7 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
xylose ,activated sludge ,continuous,5.5,55,1.2 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
glucose,activated sludge ,continuous,na,35,1.9 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
glucose,anaerobic granular sludge,continuous,4.5,35,2.6 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
palm oil mill effluent,palm oil mill wastewater treatment plant,batch,5.5,60,1.08 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
sucrose,anaerobic digester sludge,batch,5.5,60,1.96 mol H2 /mol glucose consumed,"(Okonkwo, 2019)"
organic fraction of municipal solid waste,na,cstr / continuous,5.2,37,18.2 L H2  / kg VS influent,"(Martins et al., 2022)"
glucose,clostridium acetobutylicum,schott bottle,7,30,3.14 L H2  / kg VS influent,"(Ergal et al., 2022)"
cassava wastewater ,clostridium acetobutylicum,bioreactor,7,36,2.41 L H2  / kg VS influent,"(Ergal et al., 2022)"
sugarcane molasses,clostridium acetobutylicum,fermentor / batch,6.5,30,1.3 L H2  / kg VS influent,"(Ergal et al., 2022)"
maltose,enterobacter aerogenes,erlenmeyer flask / continuous,6.5,35,2.16 L H2  / kg VS influent,"(Ergal et al., 2022)"
corn stover,mixed culture,continuous,5.5,40,0.92  mol H2 /mol glucose ,"(Ergal et al., 2022)"
corn starch ,mixed culture,batch,5.5,40,1.04  mol H2 /mol glucose,"(Ergal et al., 2022)"
glucose,enterobacter aerogenes,bioreactor,6.9,37,1.36 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose,enterobacter aerogenes,bioreactor,6.8,30,0.55 L H2  / kg VS influent,"(Ergal et al., 2022)"
corn stover,enterobacter aerogenes,bioreactor,6.5,39,1.09 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose,clostridium acetobutylicum and desulfovibrio vulgaris,bioreactor,6.5,37,3.46 L H2  / kg VS influent,"(Ergal et al., 2022)"
starch,clostridium butyricum and enterobacter aerogenes,cstr / continuous,5.25,37,2.4 L H2  / kg VS influent,"(Ergal et al., 2022)"
starch,clostridium butyricumand enterobacter aerogenes,bioreactor,5.3,30,2.32 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose,clostridium butyricumand enterobacter aerogenes,bioreactor,5.3,30,2.12 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose,klebsiella pneumoniae and citrobacter freundii,fermentor / batch,6.5,37,2.07 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose, enterobacter aerogenesand clostridium acetobutylicum,fermentor / batch,6,37,6.18 L H2  / kg VS influent,"(Ergal et al., 2022)"
glucose, enterobacter aerogenesand clostridium acetobutylicum,fermentor / batch,6.5,37,4.45 L H2  / kg VS influent,"(Ergal et al., 2022)"
cheese whey,na,batch reactor/ batch,6,38,162 L H2  / kg TOC,"(Asunis et al., 2019)"
cheese whey,na,batch reactor/ batch,6,40,162  L H2  / kg TOC,"(Tsigkou et al., 2022)"
pig slurry,thermophilic bacteria,na,6,36,7.0 mL H2  / g VSS,"(Li et al., 2020)"
sugarcane vinasse,na,na,6,37, 4.75 mmol H2 /g COD influent,"(Magrini et al., 2020)"
food waste,na,na,6,37,1.33 mol H2 /mol glucose,"(Zagklis et al., 2021)"
paddy straw after acid pretreatment,Proteus mirabilis,na,6,50,1.03 mol H2 /mol glucose,"(Mechery et al., 2019)"
olive mill wastewater,mixed culture,batch/batch,6,37, 0.642 mol H2 /mol glucose,"(Dareioti et al., 2014)"
food waste,na,batch,6,37,4.09 L H2  / L Reactor,"(Tsigkou et al., 2019b)"
food waste,mixed culture,batch reactor/ batch,6,37,0.52 mol H2 /mol glucose,"(Tsigkou et al., 2019b)"
food waste,heat shock treated anaerobic,leaching bed reactor ,5,37,310 mL H2 /g VS,"(Ghimire et al., 2015)"
food waste,thermophilic acidogenic culture ,batch,4.5,55,46.3 (mL H2 /g VS),"(Ghimire et al., 2015)….........(Shin et al., 2004)"
kitchen waste,mixed culture from kitchen waste compost,cstr / continuous,6,55,1.7 mmol H2 /g COD,"(Lee et al., 2010)"
food waste and sewage sludge,anaerobic digester sludge,batch,5.5,35,122.9 mL H2 /g VS,"(Kim, 2004)"
organic fraction of municipal solid waste,anaerobic digestate,cstr / semi-continuous,6.4,55,360 mL H2 /g VS,"(Valdezvazquez et al., 2004)"
organic fraction of municipal solid waste,non-anaerobic inocula,packed bed reactor,5.6,38,99 mL H2 /g VS,"(Alzate-Gaviria et al., 2007)"
wheat straw,cow dung compost,batch,6.5,36,68.1 mL H2 /g VS,"(Fan et al., 2005)"
rice straw ,wastewater treatment plant sludge,cstr / batch,6.5,55,24.8 mL H2 /g VS,"(Chen et al., 2012)"
corn stover,enriched cow dung composts,batch,6,80,149.69 mL H2 /g VS,"(Zhang et al., 2006)"
rice straw,anaerobic digester sludge,batch,4.5,37,346 mL H2 /g VS,"(Fang et al., 2005)"
cheese whey,adapted anaerobic sludge,batch,5.5,55,111 mL H2 /g VS,"(Kargi et al., 2012)"
algae biomass,anaerobic digester sludge,batch,6,29,66 mL H2 /g VS,"(Ghimire et al., 2015)"
glucose,enterobacter cloacae iit-bt08 ,batch,6,36,2.2 mol H2 /mol glucose,"(Kumar & Das, 2000b)"
lactose ,thermophilic species c. thermolacticum ,continuous,7,58,1.5 mol H2 /mol glucose,"(Collet, 2004)"
brewery waste,enterobacter cloacae dm 11,continuous,6,37,3.9 mol H2 /mol glucose,"(Mandal et al., 2006)"
potato peels (hydrolyzed),caldicellulosiruptor saccharolyticus dsm 8903 ,batch,6.9,70,3.4 mol H2 /mol glucose,"(Mars et al., 2010)"
potato peels (hydrolyzed),thermotoga neapolitana dsm 4349,batch,6.9,80,3.3 mol H2 /mol glucose,"(Mars et al., 2010)"
cellulose,c. thermocellum dsm 1237and c. thermopalmarium dsm 5974 ,batch,6.8,55,1.36 mol H2 /mol glucose,"(Geng et al., 2010)"
corn stover,clostridium thermocellum 7072,continuous,7.2,55,0.45 mol H2 /mol glucose,"(Ghimire et al., 2015)"
food waste,heat shock treated anaerobic sludge ,leaching bed reactor,6.3,35,310 mL H2 /g VS,"(Cai et al., 2004b)"
cassava wastewater,heat treated uasb sludge,cstr / batch,7,60,53.8 mL H2 /g VS,"(Luo et al., 2010)"
cassava wastewater,heat treated uasb sludge,cstr / batch,5,60,66.3 mL H2 /g VS,"(Luo et al., 2010)"
organic fraction of municipal solid waste,untreated anaerobic digestate,cstr / batch,5.5,37,165 mL H2 /g VS,"(Valdezvazquez et al., 2004)"
organic fraction of municipal solid waste,untreated anaerobic digestate,cstr / batch,6.4,55,360 mL H2 /g VS,"(Valdezvazquez et al., 2004)"
wheat straw,cow dung compost ,cstr / batch,7,36,68 mL H2 /g VS,"(Fan et al., 2005)"
vegetable kitchen waste,enriched from kitchen waste compost,cstr / batch,7,55,0.57 mmol H2 /g COD,"(Lee et al., 2008)"
cattle wastewater,"mixed culture from wastewater sludge, cow dung, chicken manure, river sludge",cstr / batch,5.5,45,319 mL H2 /g VS,"(Tang et al., 2008)"
rice straw,heat-treated sludge from wwtp,cstr / batch,6.5,55,24.8 mL H2 /g VS,"(Chen et al., 2012)"
wheat straw,na,batch,6,35,17.6 mL H2 /g VS,"(Ghimire et al., 2015)"
wheat starw,na,uasb/continuous,6.5,70, 21.2 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,6,35,2.84 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,5.5,35,3 mL H2 /g VS,"(Ghimire et al., 2015)"
beet pulp,na,batch,6,35,76.7 mL H2 /g VS,"(Ghimire et al., 2015)"
sugarcane bagasse,na,batch,6.5,35,66.7 mL H2 /g VS,"(Ghimire et al., 2015)"
sugarcane bagasse,na,batch,5.5,55,300 mL H2 /g VS,"(Ghimire et al., 2015)"
grass,na,batch,6.5,35,72.2 mL H2 /g VS,"(Ghimire et al., 2015)"
grass,na,batch,6,35,39.5 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,5.5,36,209.8 mL H2 /g VS,"(Ghimire et al., 2015)"
corn cobs,na,batch,6,36,107.9 mL H2 /g VS) ,"(Ghimire et al., 2015)"
sucrose,clostridium pasteurianum ,batch,7,37,3.85 mol H2 /mol sucrose ,"(Ghimire et al., 2015)"
sucrose,cattle dung,batch,6,38,3.67 mol H2 /mol sucrose ,"(Ghimire et al., 2015)"
sugarcane bagasse,enterobacter aerogenes mtcc 2822,batch,6.8,38,NA,"(Ghimire et al., 2015)"
organic fraction of municipal solid waste,heat treated sludge feom biogass plant,batch,5.2,37,43 mL H2 /g VS added,"(Ghimire et al., 2015)"
food waste,mixed culture,batch,5.8,40,65 mL H2 /g VS,"(Ghimire et al., 2015)"
algae biomass,mixed culture,batch,5.5,55,53.4 mL H2 /g VS,"(Ghimire et al., 2015)"
molasses,mixed culture,batch,5.5,55,0.27 mol H2 /mol COD ,"(Ghimire et al., 2015)"
corn stover ,clostridium thermocellum,batch,6.8,50,1.67 mol H2 /mol glucose,"(Ghimire et al., 2015)"
corn stover,mixed culture,batch,7,36,129.8 mL H2 /g corn,"(Ghimire et al., 2015)"
molasses,na,cstr,4.5,35,0.175 mł/kg COD,"(Tapia-Venegas et al., 2015)"
sucrose,na,fluidized bed reactor,6,35,0.016 mł/kg COD,"(Tapia-Venegas et al., 2015)"
sucrose,na,cstr,5.9,35,0.52 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
sucrose,na,fluidized bed reactor,6.5,70,3 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
crude glycerol,na,cstr,6,60,2.4 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
manure + paper waste,na,plug flow reactor,5.6,35,72 L H2  /Kg VS,"(Tapia-Venegas et al., 2015)"
kitchen waste,na,cstr,5.3,33,1.82 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
food waste,na,cstr,5.3,35,0.5 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
food waste,na,cstr,6,55,67 mL H2 /g VS,"(Tapia-Venegas et al., 2015)"
